label,youtube_id,time_start,time_end,split
belly dancing,bfoFYNHN1po,8,18,train
belly dancing,INudxyFZAUE,78,88,train
belly dancing,BADuQjmioGk,157,167,train
belly dancing,MXlhoEhaPgM,107,117,train
belly dancing,o7xUIR9P8U8,23,33,train
belly dancing,q5hOk6UFMCo,6,16,train
belly dancing,brE_rDvfn1g,170,180,train
belly dancing,OApfxkbM7Vc,188,198,train
dancing charleston,bQIPyf3gXRU,19,29,train
dancing charleston,xp_q-X8bxdA,4,14,train
dancing charleston,52HgCjyHiRs,37,47,train
dancing charleston,xx4c-7-FNjE,12,22,train
dancing charleston,m0x5buw9ylI,134,144,train
dancing charleston,v-vDQ76ieo0,43,53,train
dancing charleston,wLl8gb4k-wQ,60,70,train
dancing charleston,9z4_1xysWPk,47,57,train
dancing charleston,wvHrChu2wpY,94,104,train
dancing charleston,Ht2iSaH_uf4,13,23,train
dancing charleston,4hRQX3AW6pc,17,27,train
dancing charleston,q6fuY7z_Nlg,72,82,train
dancing charleston,p6Qp9KyqPrM,33,43,train
dancing charleston,IJLpbYXHpbQ,40,50,train
dancing charleston,3wBPmwOwHCI,76,86,train
dancing charleston,uYMuycNeTXg,2,12,train
dancing charleston,bd8-9wIQxHM,86,96,train
dancing charleston,IuIc0r0H0G8,3,13,train
dancing charleston,r67Cp35QsFY,135,145,train
dancing charleston,S3IEpNzRdgw,14,24,train
dancing charleston,TMqmLZ3-gCo,96,106,train
dancing charleston,q_LnehuU03M,161,171,train
dancing charleston,LseoAchTP0o,69,79,train
dancing charleston,qYEy102cfes,81,91,train
dancing charleston,wfMmSeT6gYU,214,224,train
dancing charleston,oAqlEFD3mi4,109,119,train
dancing charleston,-TNUHZx_b5I,17,27,train
dancing charleston,YbHIAnyxeRA,56,66,train
dancing charleston,3Rayyfb5Gag,53,63,train
dancing charleston,nqCBl48azNQ,69,79,train
dancing charleston,_g_FqjWXAWI,11,21,train
dancing charleston,4vs8qTuxHaE,11,21,train
dancing charleston,WGF2_TfFnFk,13,23,train
dancing charleston,SM744DtLRLk,102,112,train
dancing charleston,MOj_P0flREw,0,10,train
dancing charleston,IY_ZNgX55es,0,10,train
dancing charleston,sq8iYo2kG2s,60,70,train
dancing charleston,jwKntbPovn0,17,27,train
dancing charleston,Qt8wUI1BCKI,79,89,train
dancing charleston,iSIUI8mnU4Y,41,51,train
dancing charleston,rBcMhT9RXFc,88,98,train
dancing charleston,0PnCon45iYg,164,174,train
dancing charleston,WlH6I3xIqtQ,14,24,train
dancing ballet,4T2VE1bBz8U,32,42,train
dancing ballet,XVyLdqAlMc4,24,34,train
dancing ballet,UsKkosq22ok,41,51,train
dancing ballet,XZwkOXtG4j0,0,10,train
dancing ballet,wpDVGZKH-5U,72,82,train
dancing ballet,Vn_o6O3C22c,70,80,train
dancing ballet,6KHV5HcmdWc,55,65,train
dancing ballet,6bRPlUZNG9U,3,13,train
dancing ballet,LEuv7brdsdk,756,766,train
dancing ballet,Qyt6ANW9tRs,8,18,train
dancing ballet,S7vIaot8QjI,288,298,train
dancing ballet,n90yGON9ocM,34,44,train
dancing ballet,53S9r49WvOQ,57,67,train
dancing ballet,KZfhrGkWJaU,4,14,train
dancing ballet,CA-qzimZxqo,94,104,train
dancing ballet,arCQvQjvS40,16,26,train
dancing ballet,I6FLGOi43WQ,215,225,train
dancing ballet,oMytUuHPnj8,21,31,train
dancing ballet,8HGm-m-CwO8,121,131,train
dancing ballet,wjL3VY73HqI,44,54,train
dancing ballet,lPMu36d9I8o,1,11,train
dancing ballet,kWawehAba7w,59,69,train
dancing ballet,KLxpuj85mRA,28,38,train
dancing ballet,tKyMWi5kVgo,104,114,train
dancing ballet,0cY_7cOICXU,113,123,train
dancing ballet,TrNxKm4ilyg,597,607,train
dancing ballet,vha8hDDf7e8,26,36,train
dancing ballet,x8HH6WNCiLw,178,188,train
dancing ballet,XVbfe5_VLFw,226,236,train
dancing ballet,wjYm_PYh1oQ,80,90,train
dancing ballet,xsRNDo8Upys,56,66,train
dancing ballet,Qho8YFNeyd8,249,259,train
dancing ballet,9rJoB7y6Ncs,5716,5726,train
dancing ballet,jLqUwL5FaAs,12,22,train
dancing ballet,m8KuIr2SRfQ,8,18,train
dancing ballet,WqG0bNb51_U,50,60,train
dancing ballet,9CujKAK6b7s,31,41,train
dancing ballet,1jNw6TUXpqQ,77,87,train
square dancing,1RSY3XZvpiI,11,21,train
square dancing,OIdASNHvHBk,37,47,train
square dancing,-EQiDEeiOBw,99,109,train
square dancing,wb5UAfwwXgI,40,50,train
square dancing,9kRilPUFJ7M,13,23,train
square dancing,x68rIUARVYY,26,36,train
square dancing,M4CLO_XuaCE,187,197,train
square dancing,lc31ORB1usg,24,34,train
square dancing,FQE44yjdZxQ,299,309,train
square dancing,Wn54t0SiXEI,8,18,train
square dancing,vq_TBHcwy3E,11,21,train
square dancing,63o7s-OOS5c,17,27,train
square dancing,WCEqNkSK68w,103,113,train
square dancing,Gj5pk-V6c7M,153,163,train
square dancing,vGFbripuX9I,0,10,train
square dancing,kh2l9B8rCrI,331,341,train
square dancing,qDgQyfNxyUE,5,15,train
square dancing,og0NG5r04gQ,29,39,train
square dancing,QGtBeWbTyF0,71,81,train
square dancing,QCSZCUi6KsQ,38,48,train
square dancing,6yFVvmfGx68,223,233,train
square dancing,nCUR_-mz2o8,103,113,train
square dancing,pN0q3iuRjn8,58,68,train
square dancing,w_4kiBU3W-M,105,115,train
square dancing,JEMtzhgvH9w,212,222,train
square dancing,EfuVP57SIHo,28,38,train
square dancing,S6PiB8G06ls,32,42,train
square dancing,j0YpU0PNzI4,57,67,train
square dancing,2PDYXS25ht0,126,136,train
square dancing,HO7x6866fo8,64,74,train
square dancing,y0bdMZUwEWU,106,116,train
square dancing,o_tw0h6BGJ8,72,82,train
square dancing,_GQvowFzEgA,27,37,train
square dancing,2HyKux69Pdw,34,44,train
square dancing,EFfiVHiNcOA,59,69,train
square dancing,oHnb8WpFX7o,79,89,train
square dancing,IQzuKGpYFCw,60,70,train
square dancing,bfB_VgmOAhE,459,469,train
square dancing,0niDQCNL_rc,64,74,train
square dancing,N4_W7KkwaH0,92,102,train
square dancing,sq3zPgqYQzU,25,35,train
square dancing,Rn6ilJFgXG8,145,155,train
square dancing,kYEkTjsRnhk,4,14,train
square dancing,h9QLzGR8HEk,1062,1072,train
square dancing,ZNltdvy5Wq4,66,76,train
square dancing,4UG7R2s2AoY,96,106,train
square dancing,Z2kVPa9eCBs,180,190,train
square dancing,Di3tcJ8f-vQ,0,10,train
square dancing,DjncK1eg8VI,34,44,train
jumpstyle dancing,M4ZjXtidh_M,34,44,train
jumpstyle dancing,M2nHeEXw2Ew,40,50,train
jumpstyle dancing,TCa9K4p4lus,71,81,train
jumpstyle dancing,-onTnotvtPI,45,55,train
jumpstyle dancing,SAEXsTsmuwI,38,48,train
jumpstyle dancing,DW9-bXem7zc,138,148,train
jumpstyle dancing,8KsiZZ855zA,25,35,train
jumpstyle dancing,CJ_8kuyZHoY,47,57,train
jumpstyle dancing,62eS9TXi83o,25,35,train
jumpstyle dancing,5M1WGOJduZ8,50,60,train
jumpstyle dancing,5JRglyWSPYg,245,255,train
jumpstyle dancing,tfGsTxhVvDc,96,106,train
jumpstyle dancing,8bs3Sc1DRkY,358,368,train
jumpstyle dancing,hiqoqRkRxwM,97,107,train
jumpstyle dancing,QAso9ki6KQ8,24,34,train
jumpstyle dancing,P-uAvq8wvLg,10,20,train
jumpstyle dancing,RLYge3hK5dw,59,69,train
jumpstyle dancing,ab0f7P0X-uo,10,20,train
jumpstyle dancing,w3ScUdwKQd0,24,34,train
jumpstyle dancing,u3oOeZG3h4s,33,43,train
jumpstyle dancing,L2PyLm860oE,12,22,train
jumpstyle dancing,QAUkuhft43s,69,79,train
jumpstyle dancing,fomZEckicS8,93,103,train
jumpstyle dancing,U7oEmfMu284,0,10,train
jumpstyle dancing,U79VcoVEaTM,37,47,train
jumpstyle dancing,7uEc1OD8uv0,125,135,train
jumpstyle dancing,Z2HvmIT_p6I,18,28,train
jumpstyle dancing,QEylchl5Kek,107,117,train
jumpstyle dancing,aDAJ-y9LkEA,87,97,train
jumpstyle dancing,AE0p0mLEkiY,24,34,train
jumpstyle dancing,e01dyxg8fYg,217,227,train
jumpstyle dancing,oDcc6Q3cH64,60,70,train
jumpstyle dancing,j5ck1515SFo,7,17,train
jumpstyle dancing,bxPpsXd8nvk,234,244,train
jumpstyle dancing,Q5bjuC2zF4s,88,98,train
jumpstyle dancing,SdD1W2LiYBo,19,29,train
jumpstyle dancing,8YGR9g4Map0,257,267,train
jumpstyle dancing,D1iW3ET1PB4,5,15,train
jumpstyle dancing,iFHoIxvt3Lc,130,140,train
jumpstyle dancing,3mIEXG0npRM,14,24,train
jumpstyle dancing,wdRTCRmH0pw,95,105,train
jumpstyle dancing,9M853gAbRRg,0,10,train
jumpstyle dancing,kDGMktb_xvw,37,47,train
jumpstyle dancing,p-xLGIsXg40,15,25,train
jumpstyle dancing,EErVAM9XQzw,78,88,train
salsa dancing,08tiN96FebU,18,28,train
salsa dancing,G7C48iEB8Ks,73,83,train
salsa dancing,5i2JxGRghcE,41,51,train
salsa dancing,aZTg1bUnhFw,2,12,train
salsa dancing,hK5W5CTvH4U,0,10,train
salsa dancing,EyFkkwLYsOs,55,65,train
salsa dancing,A4ds5JvLgco,153,163,train
salsa dancing,QAaYCyQ3KOw,17,27,train
salsa dancing,jf1xt-_x25g,93,103,train
salsa dancing,WK_8h9QxWps,274,284,train
salsa dancing,M9rSkNsVOcI,364,374,train
salsa dancing,VBLTZjvliag,190,200,train
salsa dancing,QuN5OYQ0K7Q,5,15,train
salsa dancing,JJcoEwO0yc8,122,132,train
salsa dancing,NL7oXcVdBUU,43,53,train
salsa dancing,g_KRVHDI9To,3,13,train
salsa dancing,JArr6LlcGFU,6,16,train
salsa dancing,DAks2Q7Uf-4,95,105,train
salsa dancing,8bcq4Mm2uuo,0,10,train
salsa dancing,i05Nvjce6Qo,76,86,train
salsa dancing,VFOnFQPDHhw,262,272,train
salsa dancing,jop0c4PBByQ,92,102,train
salsa dancing,MNi_N8iFLmE,61,71,train
salsa dancing,ROa-YwW0a2M,6,16,train
salsa dancing,LoGKKezhDpw,60,70,train
salsa dancing,ho-WGCtBGzw,0,10,train
salsa dancing,54zrsCVLBME,12,22,train
salsa dancing,IRZoASakmRY,84,94,train
salsa dancing,WxX7w6lKcGY,99,109,train
salsa dancing,TstRzhnmzHY,5,15,train
salsa dancing,9bwIOQB3AgY,102,112,train
salsa dancing,a3zZOA0-Q0c,157,167,train
salsa dancing,63NUpXucnIQ,8,18,train
salsa dancing,4uCa0PgPRK0,259,269,train
salsa dancing,gKJciYgJJ4U,58,68,train
salsa dancing,VG57nYXvFn4,49,59,train
salsa dancing,auN1GzhXWNE,163,173,train
robot dancing,v6KHODQePeQ,343,353,train
robot dancing,a2Ez9Bk8bh4,33,43,train
robot dancing,hCBAXCF12dk,41,51,train
robot dancing,hM6RQslR6B4,37,47,train
robot dancing,7JeXJ60Gq0Q,78,88,train
robot dancing,QAAw8KS3Ijk,2,12,train
robot dancing,524gjaAling,27,37,train
robot dancing,wbwyjN9ZRRA,27,37,train
robot dancing,CTp6BEOMPks,142,152,train
robot dancing,e1_Ee64X6Bs,179,189,train
robot dancing,Ph71kCuAh9E,1,11,train
robot dancing,A1z6ERfegSs,66,76,train
robot dancing,Wi5sejYC6xs,1,11,train
robot dancing,jGuz4i3DYSs,9,19,train
robot dancing,f6obVb0LK18,12,22,train
robot dancing,3aMzrsJ__Gk,106,116,train
robot dancing,7Fbc8ezhaLc,24,34,train
robot dancing,i_G6b-iLi1Y,8,18,train
robot dancing,m3hdqtxWDUo,15,25,train
robot dancing,7aaP0JOWqto,188,198,train
robot dancing,4Q5ac0M8MnA,116,126,train
robot dancing,Eb3rfAUPX_8,7,17,train
robot dancing,4pO1918tL6A,76,86,train
robot dancing,ONvjWJSpUPQ,58,68,train
robot dancing,MAnyKNEIlV0,39,49,train
robot dancing,F-SnwrZxphM,2,12,train
robot dancing,dbVFjgTQlPE,22,32,train
robot dancing,hDZwTGz858E,137,147,train
robot dancing,Xh_1e602eUk,368,378,train
robot dancing,5tgVmSRgf10,24,34,train
robot dancing,NlD7LqF6oq0,107,117,train
robot dancing,DtAKpdqhVug,41,51,train
robot dancing,B-sy1u9JYkc,0,10,train
robot dancing,9kwn70duWiQ,44,54,train
robot dancing,UYGGtu1ON70,37,47,train
robot dancing,_pBh_nC2b-Y,10,20,train
robot dancing,KfqiIkBUgeY,0,10,train
robot dancing,VTKx7wvSesI,5,15,train
robot dancing,oTNqhHjNqog,21,31,train
robot dancing,H7BLjO_mVJo,0,10,train
robot dancing,3vcj9xaKJNc,4,14,train
robot dancing,LLvg1IcguqY,19,29,train
robot dancing,j1m4lj2jF7g,5,15,train
country line dancing,JPznlhvPrc4,34,44,train
country line dancing,uyRnYGmK2XM,20,30,train
country line dancing,dJ_PaByBi1w,55,65,train
country line dancing,Db1Ap_wj6j8,91,101,train
country line dancing,QgXXojCCTV0,47,57,train
country line dancing,H5EDroF0klo,141,151,train
country line dancing,5Uz2xwxAS2I,110,120,train
country line dancing,xiV9UnSYCUU,1,11,train
country line dancing,7PREaPbwZNQ,121,131,train
country line dancing,hXekQ438A3g,58,68,train
country line dancing,kpkA2BgpaQA,33,43,train
country line dancing,V4LgcxsZtXE,164,174,train
country line dancing,zIPFYD1iPfw,7,17,train
country line dancing,LX_BfFqv7DY,1,11,train
country line dancing,sPzOCY2326M,123,133,train
country line dancing,0VatkN_w-gY,22,32,train
country line dancing,7ndJeA5p1pY,31,41,train
country line dancing,VaeLV6-iRls,0,10,train
country line dancing,t8SUxbCNaDM,127,137,train
country line dancing,DtheaqvJsZU,68,78,train
country line dancing,Ee97mmWG-VE,150,160,train
country line dancing,lEvO4vRJgJ0,76,86,train
country line dancing,WFF2528OhLU,193,203,train
country line dancing,L4Md6-oVW3s,1,11,train
country line dancing,BTY65IPM9jQ,189,199,train
country line dancing,kUvBdvAU_pE,106,116,train
country line dancing,QZ6FBg5EkmA,30,40,train
country line dancing,kPcU2Fiq5sM,63,73,train
country line dancing,a0D6WjfdCbI,100,110,train
country line dancing,v6TIkT-vL2I,108,118,train
country line dancing,chIFntr-pMs,171,181,train
country line dancing,O1_YPlGWX0I,172,182,train
country line dancing,u4ELYn4ERcY,141,151,train
country line dancing,uDssN4AhH7g,1,11,train
dancing macarena,lS93vR6bdRQ,1,11,train
dancing macarena,-sVo84G6514,30,40,train
dancing macarena,H7tIlfPNF-w,2,12,train
dancing macarena,avO1eW-iVN8,79,89,train
dancing macarena,i7zXl0GmQIU,9,19,train
dancing macarena,Fl1ajE4Xfpc,226,236,train
dancing macarena,MzZDjDb2aKQ,91,101,train
dancing macarena,9TZj1lnXBrA,40,50,train
dancing macarena,IZeV6JAk9x8,37,47,train
dancing macarena,le67Vp330GU,0,10,train
dancing macarena,W-31z5aFKMA,1,11,train
dancing macarena,OnbpKAyhbO4,18,28,train
dancing macarena,UHomZv4r8Z8,1,11,train
dancing macarena,RGTEzy9Csm8,36,46,train
dancing macarena,dK6O-DxRiac,9,19,train
dancing macarena,PqHngfQ0Akw,11,21,train
dancing macarena,AFOA-p3S0gI,34,44,train
dancing macarena,gqp7-bz0QIY,212,222,train
dancing macarena,LqUw1Ch8ots,114,124,train
dancing macarena,D6Cwh4uzKoA,4,14,train
dancing macarena,7sd9qBd84Ok,5,15,train
dancing macarena,k00WiqDQiBs,4,14,train
dancing macarena,u4crGNsyKuE,0,10,train
dancing macarena,m5JohL88MGE,9,19,train
dancing macarena,OzM3LAPlQwg,215,225,train
dancing macarena,S1IBhxdrK8Y,176,186,train
dancing macarena,3jPKBKCpVVc,35,45,train
dancing macarena,5AiPQLFxUQ0,21,31,train
dancing macarena,KFphxM3XXvg,45,55,train
dancing macarena,EfZlpMhU2h8,23,33,train
dancing macarena,50v7028jybE,1,11,train
dancing macarena,WFtilZ1lPcs,19,29,train
dancing macarena,vGIM15nxWjY,21,31,train
dancing macarena,So-qvuOygvY,46,56,train
dancing macarena,8Zv0krBMWlc,19,29,train
dancing macarena,afO3QF82dR0,11,21,train
dancing macarena,5tnuYKPatLM,45,55,train
dancing macarena,4tp0RD87tnI,5,15,train
dancing macarena,gWJH2_M9_II,43,53,train
dancing macarena,Ud-sQPoFXew,3,13,train
dancing macarena,UaOKGczx01U,18,28,train
dancing macarena,bL3YnakZWHo,6,16,train
mosh pit dancing,Od9X7jej_aM,85,95,train
mosh pit dancing,fH721dE7scc,65,75,train
mosh pit dancing,TGdzUqpOHV0,28,38,train
mosh pit dancing,VEecn5Jl3G4,0,10,train
mosh pit dancing,iNRviTkdj9Q,6,16,train
mosh pit dancing,vmP-X1_45BM,98,108,train
mosh pit dancing,-87nn_xb9h4,81,91,train
mosh pit dancing,lq-AW5ZJhnI,239,249,train
mosh pit dancing,GW9Uct31afU,11,21,train
mosh pit dancing,Lz8a-LSfU2g,137,147,train
mosh pit dancing,NzZTKDYcD4Y,135,145,train
mosh pit dancing,74E7KgyCwUg,19,29,train
mosh pit dancing,W9wbuHFzgc4,154,164,train
mosh pit dancing,JyH2DDFGkAM,1,11,train
mosh pit dancing,_uQ9gJaNuKM,50,60,train
mosh pit dancing,RDuDhNKIdJc,1,11,train
mosh pit dancing,uxalPdl8yfw,0,10,train
mosh pit dancing,HRdkAMOzumw,0,10,train
mosh pit dancing,53eg4ma4FIs,7,17,train
mosh pit dancing,310WFh9uXAc,19,29,train
mosh pit dancing,V16n0O2pWMc,10,20,train
mosh pit dancing,PbTShakTFFw,123,133,train
mosh pit dancing,yNNwLGZS9_8,115,125,train
mosh pit dancing,QK7Iod-w2Xc,65,75,train
mosh pit dancing,2vOTeppM63c,99,109,train
mosh pit dancing,HfOpoduIfCM,11,21,train
mosh pit dancing,KjmizjZi5NU,50,60,train
mosh pit dancing,Q6wSyMT2kzQ,36,46,train
mosh pit dancing,PJhdBIiAKJw,19,29,train
mosh pit dancing,b2z51ez006g,10,20,train
mosh pit dancing,17jWUZLYi8g,136,146,train
mosh pit dancing,txumG3OqhrE,378,388,train
mosh pit dancing,qpZgxTXzCeM,97,107,train
mosh pit dancing,-9N39otwJl8,22,32,train
mosh pit dancing,ZW-Tt8pRvs0,44,54,train
mosh pit dancing,U3_gpVGacms,11,21,train
mosh pit dancing,PkfyeKxWI80,12,22,train
mosh pit dancing,9wmL5DhiA_8,3,13,train
mosh pit dancing,x0LzgIUDIes,97,107,train
mosh pit dancing,UpAXuJvWK5E,8,18,train
mosh pit dancing,wcg7kqvQCjk,193,203,train
mosh pit dancing,aLI5T_-VZ0Q,66,76,train
dancing gangnam style,S_r_CoXA6O8,18,28,train
dancing gangnam style,74sdCK5W-Ec,0,10,train
dancing gangnam style,RhU6MRxOE3M,19,29,train
dancing gangnam style,y7cV2oC92C0,111,121,train
dancing gangnam style,4aeCTg5V_zg,73,83,train
dancing gangnam style,71WBZv7Lpuk,1,11,train
dancing gangnam style,DO88XBq592o,151,161,train
dancing gangnam style,ra22uCJr-Wk,204,214,train
dancing gangnam style,on4ufSsCDpM,8,18,train
dancing gangnam style,0-85zew-Ffs,4,14,train
dancing gangnam style,g7F9NbmVadY,0,10,train
dancing gangnam style,ekMFbEBYUUo,9,19,train
dancing gangnam style,__zwgKBCinY,1,11,train
dancing gangnam style,zBwW5G1j7QU,16,26,train
dancing gangnam style,ddkLffz-l1k,95,105,train
dancing gangnam style,P706PiQtnI8,200,210,train
dancing gangnam style,3DPp3YbrvlI,252,262,train
dancing gangnam style,_tO5cKIi1ew,15,25,train
dancing gangnam style,w88aD3U46ks,4,14,train
dancing gangnam style,U98VA_cPo2U,194,204,train
dancing gangnam style,WZjsqTW5eB0,1,11,train
dancing gangnam style,x1bOYgK8hTI,16,26,train
dancing gangnam style,lRQzbPqBCDo,30,40,train
dancing gangnam style,4IC1djAAnfA,22,32,train
dancing gangnam style,7EigZg2UZu0,2,12,train
dancing gangnam style,UGE6UQ5Rlq4,12,22,train
dancing gangnam style,55OO8emmQzI,79,89,train
dancing gangnam style,_8b7k9V7JHs,206,216,train
dancing gangnam style,OqvpZbwxfxI,19,29,train
dancing gangnam style,m-0x7jP_2Bk,0,10,train
dancing gangnam style,ZelalgYYHuE,4,14,train
dancing gangnam style,gLFXZhXjXDo,19,29,train
dancing gangnam style,4OPi1XMtKcs,40,50,train
dancing gangnam style,bHKZacs52QA,27,37,train
dancing gangnam style,zI8qI_aeqZw,45,55,train
dancing gangnam style,o3xLgYimq7U,30,40,train
dancing gangnam style,EW3Ivz3E8E4,9,19,train
dancing gangnam style,rH91zLui_uI,41,51,train
dancing gangnam style,D4jh0IZG4U0,0,10,train
dancing gangnam style,8MlUmCW4z8s,60,70,train
dancing gangnam style,9WLW0TLd9E8,427,437,train
dancing gangnam style,Iv73uiZ-yS4,18,28,train
dancing gangnam style,76hkwwGVHSk,59,69,train
dancing gangnam style,A2ETaXJsiZs,171,181,train
dancing gangnam style,6JpI1NYzqAY,33,43,train
dancing gangnam style,aaUKZOWBDSs,7,17,train
dancing gangnam style,V6bjmjD47qE,9,19,train
swing dancing,Vfn_gtE2NAw,24,34,train
swing dancing,9-bpqbUgrA8,8,18,train
swing dancing,jRJ6gywLWuo,135,145,train
swing dancing,noyhDS_f8jo,56,66,train
swing dancing,H2eHZ94WYpM,105,115,train
swing dancing,rToyHx6Y8wg,43,53,train
swing dancing,vB66mhIrF64,130,140,train
swing dancing,07r6PaqMrZk,113,123,train
swing dancing,JeNv09zSqRY,0,10,train
swing dancing,Lp8NflqnYZY,23,33,train
swing dancing,OA9i8f0CJ3M,50,60,train
swing dancing,uiUi-_N746k,31,41,train
swing dancing,aenc1IQqEi8,204,214,train
swing dancing,b2BfqYWocZY,22,32,train
swing dancing,Y5EAF_igR64,55,65,train
swing dancing,RdY0Y5U5sPs,169,179,train
swing dancing,_C0GzFJGxno,141,151,train
swing dancing,4OgG86jxLR8,161,171,train
swing dancing,9MkjIqXSCbQ,24,34,train
swing dancing,jtrybm3ZTeE,229,239,train
swing dancing,5nH_CW1O-SU,13,23,train
swing dancing,bf648y8vHpE,0,10,train
swing dancing,Q7KXhiZJ1Q8,9,19,train
swing dancing,wgglaGqgkVo,174,184,train
swing dancing,c4Uaz2lhzK8,381,391,train
swing dancing,zENYFOJK0IU,3,13,train
swing dancing,XA65rfAqvHQ,156,166,train
